"requirement_id","stage_id","requirement","implementation_evidence","local_runtime_evidence","online_evidence","real_browser_evidence","current_status","gap","next_remediation_phase"
"S01-AC01","S01","仓库内存在全中文 人类可读/00_快速入口.md","人类可读/00_快速入口.md exists","N/A","N/A","N/A","VERIFIED","File-level requirement is directly satisfied","R8"
"S01-AC02","S01","机器治理/ 中存在 v1.2 需求冻结配置","机器治理/运行门禁/v1.2需求冻结清单.json exists","N/A","N/A","N/A","VERIFIED","File-level requirement is directly satisfied","R8"
"S01-AC03","S01","根目录三件套未被删除或降级","功能清单.md; 开发记录.md; 模型参数文件.md exist and contain substantive records","N/A","N/A","N/A","VERIFIED","Current truth must remain at the top of each file","R8"
"S01-AC04","S01","README/人类入口能说明 v1.2 边界变更","README.md and 人类可读/01_v1.2四线14Stage升级总览.md describe the boundary","N/A","N/A","N/A","VERIFIED","Historical completion language is superseded by R0","R8"
"S02-AC01","S02","source registry 不是仅 chatgpt/codex 硬编码","机器治理/同步与备份/sync_source_registry.json includes future-agent adapter","atlasctl sync --source future-agent --dry-run returns PASS","N/A","N/A","VERIFIED","Actual future-agent data is still absent but the registry criterion is satisfied","R7"
"S02-AC02","S02","人类说明明确写出 ChatGPT、Codex、后续其他 agent 数据备份进 GitHub","人类可读/05_ChatGPT与Codex及其他Agent自动同步说明.md","N/A","N/A","N/A","VERIFIED","Document requirement is directly satisfied","R7"
"S02-AC03","S02","每个 source 都有 transcript/credential 边界","source registry and credential exclusion policy declare the boundary","chatgpt/codex/future-agent dry-runs report no credential write","N/A","N/A","VERIFIED","Apply paths still need R7 recovery proof","R7"
"S03-AC01","S03","raw transcript 可明文进入公开路径","data/public_raw contains only README.md; data/raw_archives is empty","current_raw_file_count=0","GitHub main has no complete raw archive evidence","N/A","FAILED","No non-empty authorized raw transcript archive exists","R7"
"S03-AC02","S03","raw manifest/hash 可生成","scripts/raw_archive_manifest.py exists","audit PASS is vacuous: ledger_entry_count=0 and current_raw_file_count=0","No non-empty manifest published","N/A","PARTIAL","Generator exists but no real source proves manifest creation","R7"
"S03-AC03","S03","修改已有 raw 文件导致 validation fail","tests/test_s03p3_raw_manifest.py covers hash drift and delete","3 regression tests PASS","N/A","N/A","VERIFIED","Must be rerun against a non-empty R7 archive","R7"
"S03-AC04","S03","凭证 pattern 导致提交 gate fail","tests/test_s3pdt01_privacy.py covers cookies passwords API keys private keys and tokens","5 regression tests PASS; current scan has zero secret hits","N/A","N/A","VERIFIED","Retain gate during R7 archive materialization","R7"
"S03-AC05","S03","人类文件不被 raw manifest 细节污染","raw ledger details are stored under 机器治理","No real raw ledger exists","N/A","First screen currently has other machine/stage details","PARTIAL","Separation exists but cannot be proven with a real manifest and UI is still polluted","R2"
"S04-AC01","S04","可运行 sync chatgpt/codex/future-agent 占位接口","atlasctl exposes all three sync sources","all three dry-runs return PASS without writes","N/A","Command Palette does not invoke them","PARTIAL","CLI contracts work; actual input/apply and UI user paths are unverified","R3"
"S04-AC02","S04","official export fallback 可用","chatgpt dry-run declares official_export fallback","No real export ZIP was processed in R0","N/A","No browser workflow evidence","NOT_VERIFIED","A declared fallback is not proof that a real export works","R7"
"S04-AC03","S04","derived visualization 数据能更新","build-atlas command and derived snapshot exist","local app refresh shows 403 nodes and 2134 edges","online remains at 340 nodes and 1771 edges","Browser proves snapshot mismatch","PARTIAL","Local update works but release snapshot parity fails","R7"
"S04-AC04","S04","GitHub 备份命令有 dry-run 和 apply 模式","atlasctl push exposes mutually exclusive --dry-run/--apply","push --dry-run returns PASS and performs no remote write","No apply proof for the final recovery set","N/A","PARTIAL","Apply mode exists but has not proven complete recoverable content","R8"
"S05-AC01","S05","canonical event 可覆盖 ChatGPT/Codex/future agent","facet schema and extractor support three source classes","dry-run produces 201 ChatGPT and 16 Codex events; future-agent event_count=0","online uses derived events without future-agent evidence","N/A","PARTIAL","Schema coverage is not real future-agent coverage","R7"
"S05-AC02","S05","每条 event 有 evidence ref 或缺失原因","event extractor enforces raw ref manifest ref or missing reason","dry-run reports evidence_ref_count=434 and explicit source missing reasons","N/A","N/A","VERIFIED","R7 should replace missing reasons where raw becomes available","R7"
"S05-AC03","S05","人类文件能解释 facet 含义","人类可读/12_Facet字段与事件语义说明.md","N/A","N/A","N/A","VERIFIED","Document requirement is directly satisfied","R8"
"S05-AC04","S05","不输出纯机器字段给首屏","App has disclosure components but Command Palette renders CLI and internal safety labels","local first screen exposes S12 P1 CLI and English machine labels","online first screen exposes the same","All three screenshots show machine/stage text in the default first screen","FAILED","Default product surface is polluted by implementation details","R2"
"S06-AC01","S06","至少有行为簇/低价值循环/机会三类输出","derived behavior_intelligence includes clusters low_value_loops opportunities","local runtime contains all three categories","online DOM renders S06 behavior intelligence counts and cards","Rendered content is visible although overlapped by Command Palette","VERIFIED","Layout failure is tracked separately under S10/R1","R1"
"S06-AC02","S06","中文摘要可读","human docs and React cards contain Chinese summaries","local summaries exist","online summaries exist","Text is obscured and difficult to scan at all tested viewports","PARTIAL","Content exists but browser usability fails","R1"
"S06-AC03","S06","每条机会有证据、下一步、半衰期或暂缓理由","opportunity builder and docs declare these fields","derived opportunity records exist","some action text is rendered online","No complete E2E review of every opportunity card","PARTIAL","Need rendered drill-down assertions for evidence/action/half-life/defer reason","R6"
"S06-AC04","S06","cluster 不只是关键词列表","cluster output includes hierarchy counts evidence and narrative","runtime behavior_intelligence has structured clusters","online cluster cards show event/evidence counts and explanation","Browser DOM confirms narrative cluster output","VERIFIED","Retain during R6 visualization changes","R6"
"S07-AC01","S07","Personal Economic Proxy 可生成","formula config and derived economic output exist","local runtime renders ROI/economic layers","online bundle includes economic view","Browser baseline loads ROI navigation","VERIFIED","Usability and parity remain separate gaps","R6"
"S07-AC02","S07","每个分数有中文解释和公式来源","人类可读/16 and /17 plus formula configs","local UI has Formula/ROI surfaces","online bundle contains those surfaces","No complete browser trace from each score to formula source","PARTIAL","Need E2E explanation and provenance drill-down","R6"
"S07-AC03","S07","外部经济数据库只预留不深做","requirements freeze and formula docs explicitly defer external economics to v2","runtime has no external economics dependency","online has no external economics dependency","N/A","VERIFIED","Preserve scope","R8"
"S07-AC04","S07","Formula what-if 可查看或配置","formula what-if config and UI source exist","local bundle contains Formula Explorer surfaces","online bundle contains same code","No end-to-end parameter change and result assertion","PARTIAL","Need real interactive what-if browser gate","R6"
"S08-AC01","S08","Codex/agent 协作质量报告可生成","builder and derived agent collaboration report exist","current derived report is readable by runtime builders","N/A","N/A","VERIFIED","R6 may expose a clearer product path","R6"
"S08-AC02","S08","不会要求 Codex 实现复杂 Delegation Contract UI","requirements and source omit a Delegation Contract product UI","No runtime Delegation Contract UI","No online Delegation Contract UI","Browser navigation contains no such surface","VERIFIED","Preserve non-goal","R8"
"S08-AC03","S08","stage flight recorder 是轻量运行证据","机器治理/证据与日志/stage_flight_recorder_fields.v1_2_s08_p3.json","N/A","N/A","N/A","VERIFIED","Historical PASS labels must not override R0 status","R8"
"S08-AC04","S08","协作报告中文可读","人类可读/19_Agent协作质量指标说明.md and generated report contract","local files provide Chinese explanation","N/A","N/A","VERIFIED","Product entry can improve in R6","R6"
"S09-AC01","S09","潜性报告有证据、反证、替代解释、置信度","latent signal builder and derived report contain required fields","current derived report exists","online bundle includes latent/governance view","No full browser workflow review","VERIFIED","Criterion is a report schema/content requirement; product usability is tracked in R6","R6"
"S09-AC02","S09","proposal 有有效期","proposal state-machine output has expires_at and expiry buckets","proposals --dry-run reports five active expiring proposals","N/A","Browser baseline shows proposal counts only","VERIFIED","R4 must expose a real review workflow","R4"
"S09-AC03","S09","decision debt 有最小下一步","decision debt derived output and human doc exist","current ledger exists","online overview references risks/actions","No complete decision-debt user-path evidence","VERIFIED","R6 should verify the visible action path","R6"
"S09-AC04","S09","人类文件不过度堆叠分析术语","human docs are Chinese-first","local first screen still exposes internal labels","online first screen still exposes internal labels","Screenshots show Stage IDs English safety strings and CLI text","PARTIAL","Human docs are acceptable but product surface is not","R2"
"S10-AC01","S10","首页能回答上次来以后发生了什么","arrival briefing component exists","local first screen content is covered by Command Palette overflow","online first screen content is covered by Command Palette overflow","1470x661 1440x900 and 390x844 all fail overlap gate","FAILED","Content existence does not equal an understandable first screen","R1"
"S10-AC02","S10","核心 UI 默认中文","most app copy is Chinese","local first screen includes English and internal labels","online first screen includes the same","Screenshots show S12 P1 Universe State CLI and English safety strings","PARTIAL","Chinese-first is incomplete at the release surface","R2"
"S10-AC03","S10","机器字段默认折叠","some details use disclosure controls","Command Palette exposes dry-run command and machine safety labels by default","online exposes the same","Browser screenshots directly contradict full default folding","FAILED","Machine details are visible without user intent","R2"
"S10-AC04","S10","Chinese UX linter 或等价检查通过","source-level linter/validator passes strings","no rendered-home linter exists","online user path fails despite prior PASS","Three-view browser evidence contradicts the validator conclusion","FAILED","Existing check does not cover rendered layout or default-screen pollution","R1"
"S11-AC01","S11","至少实现 P0 图谱集合或分阶段可用版本","multiple visualization components/configs exist","local bundle contains graph/ROI/timeline views","online navigation exposes multiple views","No requirement-by-requirement P0 browser inventory exists","PARTIAL","Presence markers do not prove the required decision workflows","R6"
"S11-AC02","S11","每个图有中文问题和行动说明","Human Question Map config and docs exist","some runtime panels include Chinese questions/actions","online bundle renders related tabs and cards","No assertion covers every retained P0 chart","PARTIAL","Need complete rendered mapping and action checks","R6"
"S11-AC03","S11","图表可按 source/time/project/task 过滤","source includes several filter models","home filter shows source/tier/category/topic; complete four-axis coverage is absent","online exposes the same incomplete first-screen filter set","No browser suite proves source/time/project/task on each required view","FAILED","Required filter contract is not demonstrated and current visible filter omits time/project/task","R6"
"S11-AC04","S11","不是静态装饰图","some legacy graph views have interaction tests","local v1.2 P0 set is not fully exercised","online P0 set is not fully exercised","No v1.2 suite proves rendered-state changes for every required chart","NOT_VERIFIED","Partial older browser tests cannot support the full v1.2 claim","R6"
"S12-AC01","S12","命令面板只有采纳命令和新增 personalization/ChatGPT 深度探索功能","source defines exactly six accepted commands","local DOM renders six buttons","online DOM renders six buttons","Buttons are clipped/overlapped and only select explanatory text","PARTIAL","Correct command inventory is not a usable command surface","R3"
"S12-AC02","S12","可生成 ChatGPT/Codex/其他 agent personalization prompt","atlasctl prompt builder supports all three targets","generate-personalization-prompt --dry-run returns PASS","online static site cannot run the builder","Command Palette button does not execute the command","PARTIAL","CLI contract exists; user workflow is missing","R3"
"S12-AC03","S12","能跳转 ChatGPT 并填入/发送报告","deep-explore CLI can prepare a prefill URL","dry-run proves prompt contract only and does not open","online button only changes selected command detail","App.tsx onClick only calls onSelectCommand","FAILED","No real product action opens or pre-fills ChatGPT","R3"
"S12-AC04","S12","不会静默发送，必须由用户动作触发","deep-explore defaults to prefill_only and requires explicit auto-submit confirmation","dry-run reports sends_to_chatgpt=false","online has no automatic execution","Browser inspection found no silent side effect","VERIFIED","R3 must preserve this while adding execution","R3"
"S13-AC01","S13","未授权 proposal 不会 apply","proposal builder has authorization gate","sample_unauthorized dry-run is FAIL_CLOSED","N/A","No unauthorized UI apply path is exposed","VERIFIED","R4 must preserve fail-closed behavior in E2E","R4"
"S13-AC02","S13","授权后可以自动 apply","apply builder and CLI source exist","evidence uses an approved fixture dry-run with writes_files=false","No online apply path","No real user approval/apply browser workflow","PARTIAL","Fixture would_apply is not an actual authorized apply","R4"
"S13-AC03","S13","diff narrator 中文可读","diff narrator builder and human sections exist","proposals --view diff-narrator --dry-run returns Chinese output","N/A","No product review surface verified","VERIFIED","R4 must expose it in the approval flow","R4"
"S13-AC04","S13","失败可回滚","rollback contract and simulated failure path exist","evidence is fixture dry-run and creates no real rollback","N/A","No real browser-triggered failure/rollback proof","PARTIAL","Need an actual allowed target changed then restored in isolated E2E","R4"
"S13-AC05","S13","raw 不被修改","raw target denylist and proposal contracts exist","all R0 proposal dry-runs report raw_mutation=false","N/A","N/A","VERIFIED","R4 regression must verify the denylist","R4"
"S14-AC01","S14","owner-daily 可 dry-run","atlasctl run --profile owner-daily exists","R0 dry-run returns PASS with eight no-write steps","N/A","No product entry is verified","VERIFIED","Criterion is CLI dry-run; user entry is an additional R5 requirement","R5"
"S14-AC02","S14","audit 能覆盖四线核心 gate","final audit runs unit/build/source-level gates","raw audit passes vacuously with zero files","audit accepted the broken online/local home","Three-view overlap failure is absent from final audit","FAILED","Audit coverage is materially incomplete","R1"
"S14-AC03","S14","开发记录中文可读","开发记录.md is substantive and Chinese-first","N/A","N/A","N/A","VERIFIED","Top current-status section must supersede historical completion records","R8"
"S14-AC04","S14","维护命令少而清晰","atlasctl provides a consolidated CLI","owner-daily returns a clear dry-run plan","online Command Palette is unusable","Browser shows clipped commands and internal implementation text","PARTIAL","CLI is consolidated but the user-facing maintenance control is not clear or usable","R5"
"S14-AC05","S14","所有 stage pass gate 状态可查","historical stage JSON/validators record PASS markers","current R0 evidence proves some PASS conclusions invalid","online release still exposes broken layout and stale data","Browser evidence contradicts the aggregate pass state","FAILED","Queryable invalid statuses are not a valid pass-gate system","R8"
